occupation_type,signup_goal,plan_type,signup_discount_used,avg_quiz_score,video_replay_count,course_completion_rate,days_since_last_login,engagement_trend,hands_on_exercises_completed,project_submissions,forum_posts,goal_progress_score,peer_completion_percentile,tenure_months,payment_failures,support_tickets_raised,satisfaction_score,churned,days_to_churn,monthly_price,clv
Working Professional,Certification,Annual,No,77.6,2,79.4,36,-1,9,3,1,93.6,75.4,0,1,1,5,0,,10,10
Student,Certification,Monthly,Yes,59.3,1,19.3,6,-1,1,1,0,42.2,5.5,2,0,2,2,1,5.0,15,45
Working Professional,Get a Job,Annual,No,73.4,6,47.3,1,1,2,0,4,0.0,28.2,7,0,0,3,0,,10,80
Career Switcher,Get a Job,Annual,No,68.5,4,37.0,14,0,1,0,1,12.1,17.1,22,0,0,2,0,,10,230
Student,Certification,Monthly,No,73.2,2,40.4,4,0,1,1,1,28.4,20.3,6,0,0,3,0,,15,105
Working Professional,Certification,Annual,No,63.1,6,31.3,2,1,5,0,3,14.9,12.1,13,2,0,4,1,58.0,10,140
Working Professional,Certification,Annual,No,64.9,2,28.0,6,0,0,0,1,44.4,10.2,20,0,1,2,0,,10,210
Working Professional,Certification,Monthly,Yes,71.4,3,57.4,25,-1,3,1,0,63.0,40.6,5,0,1,3,0,,15,90
Student,Certification,Monthly,Yes,73.0,2,69.2,1,1,1,0,3,25.7,58.6,10,0,0,4,0,,15,165
Working Professional,Get a Job,Annual,No,69.9,4,39.6,18,-1,7,0,1,17.3,19.5,8,0,5,2,1,5.0,10,90
Career Switcher,Get a Job,Annual,No,95.6,3,49.6,5,0,4,1,1,24.3,31.3,8,0,0,4,0,,10,90
Student,Get a Job,Monthly,No,55.1,4,57.2,1,0,5,2,0,65.3,40.2,5,0,1,5,0,,15,90
Student,Get a Job,Annual,No,69.0,3,64.4,18,0,4,2,1,56.2,51.4,7,1,0,5,0,,10,80
Career Switcher,Get a Job,Annual,No,46.4,9,35.1,34,-1,8,3,0,71.7,15.1,6,0,1,2,1,5.0,10,70
Student,Certification,Annual,No,75.6,1,64.7,3,1,7,0,6,16.4,51.9,8,0,1,3,0,,10,90
Career Switcher,Get a Job,Monthly,Yes,53.3,6,42.9,3,1,5,2,4,64.1,22.6,5,0,0,2,0,,15,90
Working Professional,Certification,Annual,No,65.8,4,32.8,4,-1,5,1,0,22.8,13.3,2,0,1,3,0,,10,30
Student,Certification,Monthly,No,64.4,4,40.2,16,0,0,0,0,25.8,20.1,9,0,0,4,1,23.0,15,150
Career Switcher,Get a Job,Monthly,Yes,74.2,2,39.2,0,1,3,2,5,70.7,19.2,3,0,0,2,0,,15,60
Working Professional,Certification,Annual,Yes,61.7,1,44.8,2,1,2,1,1,37.6,25.1,1,0,0,4,0,,10,20
Working Professional,Certification,Monthly,Yes,61.1,4,50.0,12,0,0,0,0,6.9,31.7,15,0,0,4,0,,15,240
Working Professional,Get a Job,Annual,No,91.5,0,81.7,5,1,5,1,1,32.2,78.3,1,0,0,5,0,,10,20
Working Professional,Certification,Monthly,No,74.3,4,38.1,4,0,3,1,2,55.2,18.0,6,1,0,3,0,,15,105
Student,Get a Job,Annual,No,61.6,5,52.2,20,0,4,0,5,0.0,34.0,10,0,0,4,0,,10,110
Working Professional,Get a Job,Monthly,No,66.2,2,36.9,24,-1,3,1,0,46.9,17.0,8,0,2,3,1,181.0,15,135
Career Switcher,Get a Job,Annual,Yes,94.7,0,53.7,29,-1,4,0,0,17.6,35.7,1,2,0,4,1,6.0,10,20
Student,Certification,Annual,No,66.5,2,65.8,3,-1,1,0,0,35.3,53.1,1,1,0,4,0,,10,20
Working Professional,Hobby,Monthly,No,59.7,3,41.7,24,-1,6,1,1,58.7,21.4,1,1,1,3,0,,15,30
Student,Certification,Monthly,Yes,59.7,6,20.3,13,-1,1,0,0,31.9,6.0,0,0,2,3,1,6.0,15,15
Working Professional,Hobby,Monthly,Yes,61.8,3,66.2,1,0,3,0,2,45.0,53.6,2,0,0,4,0,,15,45
Student,Get a Job,Annual,No,61.1,5,50.0,9,-1,3,0,2,10.7,31.7,5,0,0,4,0,,10,60
Career Switcher,Get a Job,Monthly,No,50.8,4,64.1,0,1,6,1,5,43.8,50.5,1,1,1,4,0,,15,30
Working Professional,Get a Job,Annual,No,53.1,2,63.4,12,-1,3,1,2,47.9,49.6,24,0,0,4,0,,10,250
Student,Get a Job,Annual,No,57.6,0,33.1,13,0,4,0,3,1.8,13.5,9,0,0,3,0,,10,100
Student,Certification,Monthly,Yes,78.9,0,94.0,15,-1,15,1,0,34.5,92.4,7,0,2,3,0,,15,120
Student,Certification,Annual,No,64.3,4,18.3,1,0,0,0,3,24.1,5.2,9,0,1,2,0,,10,100
Working Professional,Get a Job,Annual,No,66.9,1,47.1,9,0,2,1,0,28.9,27.8,4,1,0,4,0,,10,50
Student,Hobby,Monthly,Yes,89.1,0,73.0,1,0,10,0,1,57.0,64.6,5,0,1,4,0,,15,90
Career Switcher,Certification,Monthly,No,89.4,0,68.4,29,-1,3,1,0,22.5,57.0,17,0,2,3,1,11.0,15,270
Working Professional,Certification,Monthly,Yes,65.8,6,79.5,11,1,13,3,2,83.1,75.6,10,0,1,4,0,,15,165
Student,Get a Job,Annual,No,60.5,2,61.0,1,0,3,1,2,48.9,46.4,7,0,1,3,0,,10,80
Working Professional,Get a Job,Annual,No,57.0,7,26.8,2,1,2,0,5,4.2,9.3,23,0,0,3,0,,10,240
Working Professional,Get a Job,Monthly,Yes,80.4,1,61.0,10,-1,4,0,0,24.7,46.4,8,1,2,2,1,5.0,15,135
Student,Get a Job,Monthly,Yes,66.9,2,98.1,6,1,13,2,1,71.6,95.5,4,0,0,4,0,,15,75
Student,Certification,Annual,Yes,64.2,6,45.5,13,-1,7,2,0,54.8,25.9,0,0,2,3,0,,10,10
Student,Get a Job,Annual,Yes,57.8,5,39.1,3,1,4,0,4,18.2,19.0,3,0,0,3,0,,10,40
Working Professional,Certification,Monthly,Yes,58.5,1,78.1,10,-1,13,4,0,77.6,73.0,20,0,2,3,1,103.0,15,315
Working Professional,Hobby,Monthly,No,74.8,4,19.5,1,-1,1,0,0,23.5,5.6,0,0,2,3,1,5.0,15,15
Working Professional,Certification,Monthly,Yes,50.3,3,82.7,7,1,10,1,2,38.0,79.9,1,0,0,4,0,,15,30
Career Switcher,Certification,Annual,Yes,84.9,2,68.0,31,-1,2,1,0,65.3,56.5,13,0,1,3,1,20.0,10,140
Career Switcher,Get a Job,Annual,No,62.0,2,65.3,9,-1,5,1,1,30.4,52.6,3,1,2,3,0,,10,40
Working Professional,Certification,Monthly,No,67.8,1,45.4,0,0,4,1,4,45.6,25.9,1,1,0,3,0,,15,30
Career Switcher,Get a Job,Annual,Yes,49.9,7,1.4,44,0,4,2,2,50.0,0.8,13,1,0,2,1,141.0,10,140
Student,Get a Job,Annual,No,69.8,2,58.6,1,-1,4,3,0,93.7,42.2,6,1,0,4,0,,10,70
Student,Get a Job,Annual,No,65.1,2,74.0,12,0,6,1,1,43.3,65.8,6,0,0,5,0,,10,70
Student,Certification,Monthly,Yes,69.2,0,8.0,7,1,0,0,3,19.4,1.8,2,0,0,1,1,5.0,15,45
Student,Certification,Annual,Yes,92.1,0,62.7,3,1,2,0,5,0.0,48.5,8,0,0,4,0,,10,90
Working Professional,Certification,Monthly,No,72.7,3,79.8,1,-1,3,0,2,24.6,76.0,15,1,1,4,0,,15,240
Career Switcher,Get a Job,Annual,No,58.1,2,63.0,1,1,6,3,2,89.4,48.9,11,1,1,4,0,,10,120
Student,Certification,Monthly,No,59.3,3,64.3,19,-1,4,1,0,44.8,51.0,7,1,4,3,1,58.0,15,120
Student,Get a Job,Monthly,Yes,78.9,2,94.0,20,-1,4,0,0,10.8,92.5,3,0,2,4,0,,15,60
Working Professional,Certification,Monthly,Yes,89.5,2,87.0,6,0,14,4,2,95.2,85.4,15,0,0,5,0,,15,240
Career Switcher,Get a Job,Annual,No,74.2,3,57.9,1,1,1,0,1,4.9,41.5,6,0,0,4,0,,10,70
Student,Get a Job,Monthly,Yes,80.3,1,96.7,21,-1,10,3,1,72.4,94.7,17,1,0,4,0,,15,270
Working Professional,Hobby,Monthly,Yes,79.1,0,74.1,6,0,11,1,1,61.1,66.3,2,1,1,3,0,,15,45
Student,Certification,Monthly,No,91.3,0,79.8,5,1,10,2,3,46.7,75.9,8,2,0,5,0,,15,135
Student,Certification,Monthly,Yes,40.8,6,37.4,5,0,4,3,1,57.0,17.4,21,1,0,4,0,,15,330
Career Switcher,Get a Job,Annual,No,80.0,4,68.5,4,1,10,1,0,40.0,57.3,3,1,0,4,0,,10,40
Career Switcher,Get a Job,Annual,No,84.8,2,100.0,7,1,6,2,2,48.9,98.2,24,1,0,5,0,,10,250
Student,Get a Job,Monthly,Yes,49.9,9,29.4,9,1,0,0,2,1.8,11.1,3,0,0,3,1,31.0,15,60
Career Switcher,Get a Job,Monthly,No,56.7,3,32.0,6,0,4,5,1,100.0,12.8,4,0,0,2,0,,15,75
Working Professional,Get a Job,Annual,Yes,57.2,4,51.1,22,-1,6,0,1,25.9,33.1,13,0,0,4,1,15.0,10,140
Career Switcher,Certification,Annual,No,59.1,2,27.3,3,1,0,0,3,47.9,9.6,2,1,0,3,0,,10,30
Working Professional,Certification,Monthly,Yes,62.8,0,56.7,8,-1,3,2,0,71.4,39.7,9,1,1,2,0,,15,150
Working Professional,Certification,Monthly,Yes,73.6,1,47.4,3,0,7,1,2,62.3,28.3,2,0,0,4,0,,15,45
Working Professional,Certification,Monthly,No,83.0,0,67.0,13,-1,5,1,0,74.4,54.9,7,0,0,5,1,88.0,15,120
Working Professional,Hobby,Monthly,Yes,86.2,0,53.3,1,0,3,1,0,66.4,35.4,11,0,0,3,0,,15,180
Student,Get a Job,Monthly,No,57.4,1,39.2,2,1,0,0,3,12.5,19.1,0,0,0,3,1,5.0,15,15
Student,Get a Job,Annual,No,57.3,5,51.4,16,-1,2,0,0,18.7,33.4,0,1,2,3,0,,10,10
Student,Get a Job,Monthly,Yes,89.7,0,74.4,2,0,8,2,3,55.4,66.8,21,0,0,5,0,,15,330
Working Professional,Certification,Monthly,Yes,79.7,3,58.7,9,1,1,0,2,32.2,42.5,13,0,0,3,0,,15,210
Student,Hobby,Monthly,Yes,71.2,2,55.4,35,-1,2,0,0,42.9,38.2,16,0,2,3,1,86.0,15,255
Working Professional,Certification,Monthly,Yes,77.1,2,65.2,7,1,3,1,1,42.9,52.3,4,1,1,4,0,,15,75
Career Switcher,Certification,Annual,No,69.6,1,73.4,2,0,10,2,2,55.3,65.1,10,1,0,5,0,,10,110
Student,Hobby,Monthly,No,77.9,1,96.0,3,0,11,3,0,89.3,94.2,24,0,1,4,0,,15,375
Working Professional,Certification,Monthly,No,65.0,1,49.9,17,-1,3,2,1,45.7,31.5,4,1,0,4,0,,15,75
Working Professional,Certification,Annual,No,74.0,2,86.5,4,1,8,2,1,62.2,84.8,15,0,0,5,0,,10,160
Career Switcher,Get a Job,Monthly,Yes,47.3,6,22.9,12,-1,1,0,0,0.0,7.2,0,0,0,3,1,5.0,15,15
Student,Hobby,Monthly,No,59.7,1,29.0,15,-1,0,0,1,9.9,10.9,6,0,2,3,1,5.0,15,105
Working Professional,Get a Job,Annual,No,59.8,0,78.7,6,1,7,2,7,72.0,74.0,3,0,1,4,0,,10,40
Career Switcher,Certification,Monthly,No,64.4,3,87.3,15,0,7,3,1,94.3,85.7,5,0,0,5,0,,15,90
Career Switcher,Get a Job,Annual,No,56.1,3,74.9,3,1,9,1,3,30.1,67.7,0,0,1,3,0,,10,10
Working Professional,Certification,Monthly,No,62.0,5,39.7,7,1,1,1,2,45.8,19.6,3,0,0,4,1,20.0,15,60
Working Professional,Certification,Annual,No,47.3,5,6.5,11,1,2,0,1,25.7,1.3,0,2,0,3,0,,10,10
Working Professional,Certification,Monthly,No,78.2,0,74.7,1,1,13,3,3,70.7,67.5,4,1,0,3,0,,15,75
Career Switcher,Certification,Monthly,No,68.8,3,100.0,3,1,9,3,2,67.7,98.2,4,1,1,4,0,,15,75
Working Professional,Certification,Annual,No,44.4,5,7.3,10,1,3,0,4,36.9,1.6,3,1,0,3,0,,10,40
Student,Hobby,Annual,No,57.5,6,71.4,10,0,12,0,1,34.3,62.3,23,0,2,4,0,,10,240
Career Switcher,Get a Job,Annual,No,75.0,1,78.6,6,-1,4,1,0,39.2,73.8,0,0,1,5,0,,10,10
Working Professional,Certification,Annual,Yes,61.9,4,73.9,15,-1,7,4,1,100.0,65.6,13,0,4,3,0,,10,140
Working Professional,Get a Job,Annual,No,59.5,1,29.8,6,0,0,1,3,38.9,11.5,3,0,0,3,0,,10,40
Student,Certification,Monthly,Yes,68.9,3,50.0,21,0,6,1,1,46.9,31.8,1,0,0,4,0,,15,30
Working Professional,Certification,Monthly,Yes,75.2,1,66.5,13,0,3,1,3,36.4,54.4,2,2,0,3,0,,15,45
Working Professional,Certification,Monthly,Yes,48.5,8,12.4,3,1,0,0,3,29.8,3.0,18,1,1,2,1,5.0,15,285
Working Professional,Certification,Monthly,Yes,78.3,1,91.0,5,1,13,1,3,19.9,89.7,13,0,0,4,0,,15,210
Student,Hobby,Annual,No,58.0,1,32.6,11,-1,1,0,1,63.1,13.1,0,1,2,2,1,38.0,10,10
Working Professional,Get a Job,Annual,No,69.7,2,60.8,22,-1,3,2,0,50.4,45.9,1,1,0,4,1,5.0,10,20
Career Switcher,Get a Job,Annual,Yes,69.5,1,56.1,1,0,4,2,2,40.8,39.0,8,0,0,3,0,,10,90
Student,Certification,Monthly,Yes,62.1,1,35.9,7,0,6,0,1,28.4,15.9,3,0,3,1,1,20.0,15,60
Career Switcher,Get a Job,Annual,No,54.6,3,40.2,1,1,4,1,8,38.5,20.2,20,0,1,3,0,,10,210
Working Professional,Get a Job,Annual,No,65.7,3,61.7,3,1,3,2,4,73.2,47.4,12,0,0,5,0,,10,130
Career Switcher,Certification,Annual,No,94.4,3,79.6,11,1,4,0,5,33.7,75.8,16,0,0,4,0,,10,170
Working Professional,Hobby,Monthly,Yes,49.6,4,25.6,0,0,0,0,0,53.9,8.7,1,0,2,2,1,72.0,15,30
Working Professional,Hobby,Annual,No,95.4,0,76.5,10,0,6,1,2,63.9,70.6,1,0,0,5,0,,10,20
Working Professional,Hobby,Monthly,No,66.1,3,49.1,23,-1,4,3,2,82.5,30.3,21,0,2,2,1,52.0,15,330
Career Switcher,Get a Job,Annual,No,70.5,5,54.6,34,-1,1,0,1,0.0,37.1,4,0,1,4,1,51.0,10,50
Working Professional,Certification,Annual,Yes,53.7,8,83.8,2,0,13,4,2,97.7,81.4,4,0,2,3,0,,10,50
Student,Certification,Monthly,No,58.4,3,65.6,13,0,3,0,2,9.2,52.8,9,0,0,4,0,,15,150
Working Professional,Certification,Monthly,Yes,62.5,2,52.4,26,-1,3,1,0,74.9,34.2,4,0,2,4,1,5.0,15,75
Career Switcher,Get a Job,Annual,Yes,54.3,5,33.4,0,0,1,0,1,17.0,13.7,16,0,0,3,0,,10,170
Working Professional,Certification,Monthly,Yes,66.9,3,46.6,5,1,4,1,3,35.6,27.2,24,0,0,3,0,,15,375
Working Professional,Certification,Annual,No,63.9,0,36.6,25,-1,5,2,1,65.6,16.6,3,0,4,1,1,5.0,10,40
Working Professional,Certification,Monthly,Yes,97.8,0,68.1,2,1,4,1,5,29.8,56.5,1,0,0,4,0,,15,30
Career Switcher,Get a Job,Monthly,Yes,52.5,4,17.6,27,-1,2,0,1,0.0,4.7,0,0,1,2,1,20.0,15,15
Student,Certification,Monthly,No,71.5,2,54.8,7,1,1,0,7,43.2,37.4,1,0,1,4,0,,15,30
Working Professional,Certification,Monthly,No,73.7,2,96.4,1,1,8,1,3,30.3,94.4,1,0,0,5,0,,15,30
Student,Certification,Monthly,Yes,53.9,1,58.9,5,0,3,1,0,42.3,42.9,0,0,4,3,0,,15,15
Student,Get a Job,Annual,Yes,80.3,0,90.9,3,0,12,1,1,37.1,89.4,0,0,2,3,0,,10,10
Working Professional,Certification,Annual,No,64.0,3,74.2,3,1,8,1,4,42.3,66.5,5,0,1,4,0,,10,60
Working Professional,Get a Job,Annual,Yes,32.6,9,20.7,7,-1,1,0,1,0.0,6.3,9,1,3,2,1,5.0,10,100
Working Professional,Certification,Annual,No,79.9,2,76.7,6,0,14,3,3,75.9,70.9,24,1,1,4,0,,10,250
Working Professional,Certification,Annual,No,53.2,0,27.1,6,0,3,1,1,47.2,9.4,1,0,1,3,0,,10,20
Working Professional,Certification,Annual,Yes,54.3,3,58.9,0,0,5,0,1,43.1,43.0,9,0,1,3,0,,10,100
Student,Get a Job,Monthly,Yes,80.3,0,80.8,16,-1,10,1,0,59.4,77.3,6,0,3,4,0,,15,105
Working Professional,Certification,Monthly,Yes,64.8,6,37.9,6,0,3,3,0,45.4,17.9,5,0,1,2,0,,15,90
Student,Certification,Monthly,Yes,83.8,0,97.2,17,-1,5,2,1,48.0,94.9,10,0,3,5,0,,15,165
Student,Hobby,Monthly,Yes,88.2,0,68.4,17,0,3,2,2,63.3,57.0,2,0,0,4,0,,15,45
Working Professional,Certification,Annual,No,60.3,3,100.0,3,1,4,0,4,45.2,98.2,2,1,0,5,0,,10,30
Working Professional,Certification,Monthly,Yes,81.9,1,86.1,0,1,14,2,2,65.2,84.3,3,1,0,5,0,,15,60
Working Professional,Certification,Monthly,Yes,58.7,3,54.6,24,-1,3,2,1,76.8,37.0,1,0,3,3,1,64.0,15,30
Working Professional,Get a Job,Annual,No,100.0,2,100.0,14,-1,12,1,1,20.2,98.2,5,0,1,4,0,,10,60
Working Professional,Certification,Monthly,Yes,59.6,3,9.3,1,-1,0,0,1,25.2,2.3,1,1,4,1,1,5.0,15,30
Career Switcher,Get a Job,Annual,Yes,85.4,0,75.7,12,-1,7,4,0,100.0,68.9,3,0,0,4,0,,10,40
Working Professional,Certification,Annual,Yes,82.7,5,73.5,0,0,12,4,0,77.1,65.2,0,0,0,5,0,,10,10
Working Professional,Certification,Annual,Yes,74.7,3,51.4,0,1,3,1,1,1.5,33.4,0,0,0,4,0,,10,10
Student,Get a Job,Monthly,No,59.9,2,59.5,7,1,5,1,2,26.8,44.2,3,1,0,4,0,,15,60
Student,Get a Job,Monthly,Yes,67.7,4,50.8,1,1,2,0,3,14.4,32.7,7,0,0,3,1,68.0,15,120
Working Professional,Certification,Annual,No,37.7,9,46.0,33,-1,5,0,1,28.9,26.5,1,0,0,3,0,,10,20
Working Professional,Certification,Annual,No,73.4,1,63.7,22,-1,4,1,0,25.7,50.0,24,0,2,3,1,5.0,10,250
Working Professional,Certification,Monthly,Yes,75.2,0,87.3,10,0,6,0,1,19.2,85.6,2,1,0,5,0,,15,45
Working Professional,Get a Job,Monthly,Yes,72.0,3,64.2,0,1,5,0,5,0.0,51.0,0,0,0,4,0,,15,15
Working Professional,Certification,Annual,No,25.4,10,5.7,3,1,0,0,1,11.8,1.2,0,0,0,2,1,8.0,10,10
Working Professional,Hobby,Annual,Yes,51.0,1,59.0,4,0,2,1,2,36.8,43.2,8,0,0,3,0,,10,90
Career Switcher,Get a Job,Annual,Yes,58.8,2,59.7,6,0,3,0,1,11.1,44.3,8,1,1,3,0,,10,90
Working Professional,Certification,Annual,No,74.4,4,32.5,1,1,4,0,5,0.0,13.0,18,0,0,3,1,62.0,10,190
Career Switcher,Get a Job,Monthly,Yes,74.3,4,72.7,8,-1,11,2,0,73.7,64.0,0,0,2,4,0,,15,15
Student,Certification,Monthly,Yes,67.4,3,14.3,5,1,1,0,3,28.4,3.5,3,0,0,2,1,109.0,15,60
Student,Certification,Annual,No,79.5,0,100.0,29,-1,9,1,0,28.4,98.2,17,0,1,5,0,,10,180
Student,Certification,Annual,No,54.6,4,54.2,27,-1,6,0,1,15.4,36.5,12,0,4,3,1,41.0,10,130
Working Professional,Certification,Monthly,No,79.2,1,67.2,8,-1,7,2,0,50.5,55.1,2,1,1,4,0,,15,45
Career Switcher,Certification,Monthly,Yes,77.1,1,89.3,10,0,14,3,0,75.1,87.8,17,0,0,5,0,,15,270
Student,Get a Job,Annual,No,75.7,1,89.4,1,0,11,1,0,36.5,87.9,9,1,0,5,0,,10,100
Career Switcher,Get a Job,Monthly,No,67.3,2,95.9,2,1,10,4,2,100.0,94.0,2,2,1,5,0,,15,45
Student,Hobby,Monthly,Yes,97.5,1,100.0,23,-1,8,3,1,58.7,98.2,0,0,2,4,0,,15,15
Career Switcher,Get a Job,Annual,No,77.4,1,60.1,12,1,6,1,4,34.9,44.8,5,0,0,4,0,,10,60
Working Professional,Hobby,Monthly,No,55.5,5,49.6,2,1,6,1,4,18.9,31.3,9,0,1,3,1,205.0,15,150
Student,Certification,Annual,No,73.7,4,36.8,8,0,1,1,2,26.8,16.9,2,0,0,3,0,,10,30
Working Professional,Certification,Monthly,Yes,81.3,1,91.1,27,0,6,3,2,64.9,89.8,1,0,0,5,0,,15,30
Student,Certification,Annual,No,61.2,7,83.3,4,1,9,0,3,9.9,80.8,0,1,0,4,0,,10,10
Student,Certification,Annual,No,86.3,1,60.3,2,0,4,1,0,41.7,45.2,14,1,0,4,0,,10,150
Student,Hobby,Monthly,Yes,75.7,0,79.1,28,0,6,2,0,39.9,74.6,0,0,0,5,0,,15,15
Career Switcher,Get a Job,Annual,No,34.9,2,15.5,6,0,0,0,1,27.1,3.9,7,0,0,3,0,,10,80
Working Professional,Get a Job,Monthly,Yes,74.5,3,71.9,5,0,14,2,1,45.4,62.8,11,0,2,3,0,,15,180
Student,Get a Job,Monthly,No,63.9,3,63.2,3,-1,1,0,0,25.1,49.3,12,1,2,3,1,5.0,15,195
Working Professional,Get a Job,Monthly,No,78.1,0,97.6,22,-1,11,2,0,39.9,95.2,8,0,2,4,0,,15,135
Working Professional,Certification,Monthly,No,84.2,1,73.7,18,-1,12,4,1,100.0,65.4,8,0,2,4,0,,15,135
Student,Get a Job,Annual,Yes,72.9,4,52.7,5,1,2,0,0,15.8,34.6,5,1,0,3,0,,10,60
Working Professional,Certification,Annual,No,95.0,0,85.9,0,1,5,0,8,41.9,84.0,4,0,0,5,0,,10,50
Student,Certification,Annual,No,67.3,3,49.6,5,1,2,1,7,24.5,31.2,1,0,0,3,0,,10,20
Student,Certification,Annual,Yes,79.4,1,84.5,1,0,12,2,1,55.2,82.1,6,1,0,5,0,,10,70
Working Professional,Certification,Monthly,Yes,82.1,1,99.1,1,1,6,1,1,41.1,96.1,0,1,0,5,0,,15,15
Student,Get a Job,Annual,No,68.5,3,97.7,4,1,7,1,3,34.0,95.2,5,0,0,5,0,,10,60
Working Professional,Get a Job,Annual,No,81.7,1,72.7,1,0,11,0,3,22.7,64.0,10,0,0,4,0,,10,110
Working Professional,Get a Job,Monthly,Yes,61.1,4,98.0,31,1,8,4,2,100.0,95.4,4,3,0,5,0,,15,75
Student,Certification,Monthly,No,63.7,0,45.0,0,0,2,1,1,42.5,25.3,5,0,0,4,0,,15,90
Working Professional,Certification,Annual,No,50.3,3,72.4,5,1,5,1,3,60.0,63.4,14,0,1,4,0,,10,150
Student,Get a Job,Annual,No,73.6,6,45.1,1,1,5,4,2,100.0,25.4,8,1,1,4,0,,10,90
Career Switcher,Get a Job,Monthly,No,74.9,3,34.4,11,-1,6,2,0,54.3,14.5,1,0,1,3,1,109.0,15,30
Working Professional,Certification,Monthly,Yes,87.7,0,98.3,0,0,11,5,1,96.0,95.8,6,0,1,5,0,,15,105
Career Switcher,Get a Job,Annual,No,81.9,2,79.3,7,1,15,5,5,100.0,74.9,3,0,0,4,0,,10,40
Working Professional,Certification,Monthly,No,65.7,2,80.7,14,-1,6,1,1,41.4,77.1,1,0,0,5,0,,15,30
Student,Certification,Annual,Yes,52.3,0,70.0,29,-1,9,6,1,100.0,60.1,8,2,3,3,1,21.0,10,90
Working Professional,Certification,Annual,Yes,76.5,0,86.2,11,0,7,1,0,42.7,84.4,3,0,0,4,0,,10,40
Career Switcher,Certification,Annual,No,86.7,1,88.3,1,1,7,2,3,76.1,86.8,11,0,0,4,0,,10,120
Working Professional,Get a Job,Annual,No,81.3,0,96.3,0,1,5,1,3,42.2,94.3,7,0,0,4,0,,10,80
Career Switcher,Get a Job,Annual,No,86.3,4,93.9,13,1,14,4,1,100.0,92.3,0,0,0,5,0,,10,10
Career Switcher,Certification,Monthly,Yes,66.8,3,46.9,2,0,3,1,3,54.2,27.6,3,0,0,3,0,,15,60
Student,Certification,Annual,No,63.0,6,63.5,5,1,1,1,3,48.8,49.8,2,2,1,3,0,,10,30
Student,Certification,Monthly,Yes,58.9,2,85.0,37,-1,8,3,0,72.9,82.9,1,0,0,4,1,195.0,15,30
Working Professional,Certification,Monthly,Yes,69.2,1,55.9,17,-1,2,0,0,25.5,38.8,12,0,3,3,1,8.0,15,195
Working Professional,Certification,Annual,No,68.8,5,45.1,18,1,5,0,4,32.2,25.4,3,1,1,2,0,,10,40
Career Switcher,Certification,Annual,Yes,73.1,1,42.6,19,0,8,2,1,53.8,22.3,7,0,0,3,0,,10,80
Career Switcher,Hobby,Annual,No,68.1,2,72.0,9,-1,4,2,1,61.1,63.0,17,1,2,3,0,,10,180
Working Professional,Certification,Annual,Yes,68.0,2,50.2,13,0,2,0,2,29.3,31.9,6,0,2,3,0,,10,70
Student,Get a Job,Annual,No,58.3,2,62.2,4,1,0,0,3,0.0,48.0,2,0,0,4,0,,10,30
Working Professional,Hobby,Monthly,Yes,84.1,1,75.7,64,-1,11,0,2,32.1,68.8,12,0,1,4,0,,15,195
Student,Get a Job,Annual,Yes,71.1,2,78.5,3,1,12,3,3,82.4,73.6,4,0,1,4,0,,10,50
Career Switcher,Get a Job,Annual,Yes,67.4,2,58.0,8,0,2,0,1,28.6,41.5,6,0,0,4,0,,10,70
Working Professional,Hobby,Annual,No,58.8,3,83.6,3,1,8,2,5,57.6,81.1,18,0,1,3,0,,10,190
Working Professional,Certification,Annual,No,50.0,3,82.8,1,0,13,2,0,64.1,80.1,5,0,2,4,0,,10,60
Student,Get a Job,Monthly,Yes,89.6,0,78.7,8,0,5,1,1,56.5,73.9,3,0,0,4,0,,15,60
Working Professional,Get a Job,Annual,No,78.3,2,100.0,4,0,10,2,0,44.2,98.2,10,0,0,4,0,,10,110
Working Professional,Hobby,Monthly,Yes,45.6,10,19.9,8,0,0,0,1,17.0,5.9,1,0,1,2,0,,15,30
Working Professional,Certification,Monthly,No,81.4,1,84.0,8,0,11,5,2,93.3,81.6,19,0,0,5,0,,15,300
Student,Certification,Annual,No,83.8,1,68.3,7,-1,4,1,2,40.0,56.8,19,1,0,4,0,,10,200
Working Professional,Certification,Monthly,Yes,71.9,1,66.9,1,0,2,0,3,26.5,54.6,6,0,1,4,0,,15,105
Career Switcher,Certification,Annual,No,94.0,1,84.5,5,0,8,4,1,82.3,82.2,1,0,0,5,0,,10,20
Student,Hobby,Monthly,No,73.3,3,65.3,16,-1,4,1,3,31.5,52.5,4,0,2,3,0,,15,75
Student,Get a Job,Monthly,No,48.7,6,4.6,3,1,0,0,1,19.7,1.1,4,0,1,2,1,40.0,15,75
Student,Certification,Annual,No,75.5,0,50.2,5,0,5,1,1,38.2,31.8,2,0,0,4,0,,10,30
Working Professional,Certification,Annual,No,73.7,1,32.3,6,-1,8,3,1,92.8,12.9,1,0,0,3,0,,10,20
Working Professional,Hobby,Annual,Yes,61.0,5,65.0,19,-1,2,0,0,24.7,52.0,2,1,0,4,1,15.0,10,30
Working Professional,Certification,Annual,No,78.6,2,90.1,10,-1,9,0,0,59.4,88.6,6,0,1,5,0,,10,70
Student,Hobby,Monthly,Yes,45.0,2,41.9,1,1,3,1,3,25.0,21.7,9,0,0,3,0,,15,150
Working Professional,Certification,Monthly,No,84.9,2,73.9,20,-1,11,2,1,59.8,65.7,24,0,3,4,0,,15,375
